Date,Total.Streams,Abreviatted
2019-09-27,91838201,US
2019-09-28,81490591,US
2019-09-29,70529442,US
2019-09-30,76592351,US
2019-10-01,78803392,US
2019-10-02,77134091,US
2019-10-03,77326605,US
2019-10-04,89907559,US
2019-10-05,79301615,US
2019-10-06,70067826,US
2019-10-07,78040295,US
2019-10-08,79190051,US
2019-10-09,78043221,US
2019-10-10,78853110,US
2019-10-11,85110521,US
2019-10-12,76553407,US
2019-10-13,67852628,US
2019-10-14,74184637,US
2019-10-15,75511164,US
2019-10-16,74845994,US
2019-10-17,77307938,US
2019-10-18,80352582,US
2019-10-19,73691111,US
2019-10-20,66788977,US
2019-10-21,72650558,US
2019-10-22,74444304,US
2019-10-23,77784985,US
2019-10-24,79120383,US
2019-10-25,104255231,US
2019-10-26,91778881,US
2019-10-27,76003663,US
2019-10-28,83321228,US
2019-10-29,81930540,US
2019-10-30,83828659,US
2019-10-31,85671218,US
2019-11-01,83291687,US
2019-11-02,76570349,US
2019-11-03,68122719,US
2019-11-04,75848095,US
2019-11-05,77126848,US
2019-11-06,76523714,US
2019-11-07,76357058,US
2019-11-08,83553439,US
2019-11-09,75759654,US
2019-11-10,66235460,US
2019-11-11,71037814,US
2019-11-12,71501948,US
2019-11-13,71966121,US
2019-11-14,74543600,US
2019-11-15,80065448,US
2019-11-16,74612164,US
2019-11-17,66378279,US
2019-11-18,72400669,US
2019-11-19,74973422,US
2019-11-20,75240024,US
2019-11-21,75982825,US
2019-11-22,87256981,US
2019-11-23,77429782,US
2019-11-24,68544984,US
2019-11-25,75419802,US
2019-11-26,78225768,US
2019-11-27,82848077,US
2019-11-28,71665860,US
2019-11-29,69656214,US
2019-11-30,73437048,US
2019-12-01,73446744,US
2019-12-02,77957652,US
2019-12-03,78322714,US
2019-12-04,79194705,US
2019-12-05,83824672,US
2019-12-06,89979179,US
2019-12-07,83984183,US
2019-12-08,85632915,US
2019-12-09,92752446,US
